coder1,coder2,coder3,coder4,coder5,coder6,coder7,coder8,coder9,coder10
0.6748466257668712,0.6748466257668712,0.6748466257668712,0.6826666666666666,0.6763848396501457,0.5748987854251012,0.5701357466063348,0.5765765765765766,0.5698630136986301,0.4927536231884058
0.3698630136986301,0.3698630136986301,0.3698630136986301,0.5547945205479452,0.5765124555160143,0.5577689243027888,0.5073170731707317,0.5217391304347826,0.4657534246575342,0.5964912280701754
0.3611111111111111,0.3611111111111111,0.3611111111111111,0.35772357723577236,0.37623762376237624,0.27906976744186046,0.358974358974359,0.3472222222222222,0.28125,0.4444444444444444
0.576271186440678,0.576271186440678,0.576271186440678,0.24242424242424243,0.24242424242424243,0.5128205128205128,0.5789473684210527,0.27906976744186046,0.3783783783783784,0.5454545454545454
0.8235294117647058,0.8235294117647058,0.8235294117647058,0.5882352941176471,0.5882352941176471,0.14285714285714285,0.2,0.2,0.3157894736842105,1.0
0.7415730337078652,0.7415730337078652,0.7415730337078652,0.5714285714285714,0.5815602836879432,0.6451612903225806,0.6296296296296297,0.5663716814159292,0.5652173913043478,0.5833333333333334
0.6885245901639344,0.6885245901639344,0.6885245901639344,0.5172413793103449,0.5357142857142857,0.38095238095238093,0.45714285714285713,0.4383561643835616,0.3333333333333333,0.0
0.8311688311688312,0.8311688311688312,0.8311688311688312,0.696969696969697,0.6907216494845361,0.6808510638297872,0.7529411764705882,0.6938775510204082,0.6564885496183206,0.5263157894736842
0.9473684210526315,0.9473684210526315,0.9473684210526315,0.6,0.6666666666666666,0.8,0.6666666666666666,0.5454545454545454,0.6666666666666666,0.0
0.6296296296296297,0.6296296296296297,0.6296296296296297,0.5336048879837068,0.5375854214123007,0.4573170731707317,0.4819277108433735,0.4804270462633452,0.46017699115044247,0.45454545454545453
