coder1,coder2,coder3,coder4,coder5,coder6,coder7,coder8,coder9,coder10
0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9761904761904762,0.975609756097561,1.0,1.0,0.98989898989899,1.0,0.96
0.6521739130434783,0.6521739130434783,0.6521739130434783,0.7714285714285715,0.782608695652174,0.717948717948718,0.6486486486486487,0.810126582278481,0.6666666666666666,0.5555555555555556
0.5531914893617021,0.5531914893617021,0.5531914893617021,0.6984126984126984,0.6885245901639344,0.7,0.717948717948718,0.676056338028169,0.7037037037037037,0.7058823529411765
0.6818181818181818,0.6818181818181818,0.6818181818181818,0.24390243902439024,0.25,0.5294117647058824,0.7272727272727273,0.3404255319148936,0.5238095238095238,0.5333333333333333
0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5384615384615384,0.631578947368421,0.375,0.4827586206896552,0.6666666666666666,0.3333333333333333
0.8518518518518519,0.8518518518518519,0.8518518518518519,0.9295774647887324,0.927536231884058,0.8,0.7368421052631579,0.8333333333333334,0.8,0.8571428571428571
0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7307692307692307,0.7450980392156863,0.7272727272727273,0.6896551724137931,0.711864406779661,0.6666666666666666,0.6153846153846154
0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9393939393939394,0.9375,0.9545454545454546,0.9230769230769231,0.9333333333333333,0.967741935483871,0.9473684210526315
0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8181818181818182,0.8571428571428571,0.9090909090909091,1.0,0.8,0.9,1.0
0.8709677419354839,0.8709677419354839,0.8709677419354839,0.7076923076923077,0.71875,0.7441860465116279,0.6666666666666666,0.6842105263157895,0.7586206896551724,0.6666666666666666
